Company Name,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
La Mania,La Mania,Cold,,71,apparel & fashion,bartosz.kosiba@kreativia.pl,http://www.lamania.eu,http://www.linkedin.com/company/la-mania,https://facebook.com/pages/La-Mania/110512669007910,https://twitter.com/LaManiaFashion,3C ulica Balladyny,Warszawa,woj. mazowieckie,Poland,02-553,"3C ulica Balladyny, Warszawa, woj. mazowieckie, Poland, 02-553","fashion, retail, ecommerce, fashion brand, retail apparel & fashion, high-quality materials, quality fabrics, bestsellers, b2c, timeless fashion, retro elegance, women's fashion, self-expression, casual wear, versatile outfits, men's inspired cuts, self-confidence, timeless design, customer service, women's clothing, e-commerce, trend-inspired, online shopping, essentials, d2c, personal style, modern simplicity, comfortable clothing, apparel and fashion, swimwear, clothing, consumer internet, consumers, internet, information technology & services, women's apparel, apparel & fashion",,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Render, AI",,,,,219000,,6861a6095b20f00019672e8f,5699,,"La Mania is a prominent Polish luxury fashion brand founded in 2010 and based in Warsaw. The company specializes in elegant, minimalist women's apparel that blends contemporary trends with timeless designs. La Mania aims to empower modern women, allowing them to express their femininity and strength through fashion. The brand emphasizes quality, comfort, and trend-conscious styles, appealing to women who appreciate both sophistication and ease.

In addition to its clothing line, La Mania has expanded into interior design with the La Mania Home label, enhancing its luxury lifestyle offerings. The brand targets modern women who follow global fashion trends and has built a strong community with over one million social media followers. La Mania has also upgraded its IT infrastructure to support its e-commerce platform, ensuring a seamless shopping experience for its customers.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/690b1781515be000013936ba/picture,,,,,,,,
Biedronka,Biedronka,Cold,,84000,retail,bartosz.kosiba@kreativia.pl,http://www.pracawbiedronce.pl,http://www.linkedin.com/company/biedronka,,,75 Ulica Wolska,Warszawa,woj. mazowieckie,Poland,01-229,"75 Ulica Wolska, Warszawa, woj. mazowieckie, Poland, 01-229","co2 refrigeration, private label products, international expansion, logistics near bratislava, retail technology, poland, sustainable store design, store formats, store network growth, supply chain automation, customer service, retail innovation, retail, supply chain management, store network, employee benefits, supermarkets and other grocery retailers (except convenience retailers), private label, supermarket, digital transformation, environmental sustainability, digital store formats, private label branding, local sourcing, store operations, internal chatbots, automation, wholesale trade, local suppliers, supermarkets, big data, electronic price labels, distribution, co2-based refrigeration, discount store, product assortment, supply chain logistics, environmentally friendly stores, corporate social responsibility, customer experience, human resources, affordable prices, e-commerce, discount retail, retail chain, employee development, market leader, community engagement, local polish suppliers, partnerships with local producers, international retail expansion, partnership with responsible business forum, customer loyalty programs, sponsoring national sports teams, private labels, led lighting, financial services, electronic shelf labels, technology innovation, operational efficiency, b2c, employee base, retail digitalization, grocery, logistics centers, local sourcing policies, sustainability, grocery stores, food retail, logistics, procurement, retail sustainability initiatives, market expansion, customer inquiries, supply chain, store environmental standards, automated communication tools, job offers, career development, work-life balance, professional training, management trainee program, internal promotions, employee satisfaction, warehouse operations, distribution centers, team building, cross-functional teamwork, it infrastructure, e-commerce solutions, store efficiency, employee onboarding, work from home, full-time positions, part-time positions, creative problem solving, work environment, employee feedback, qualifications, analytical skills, client interaction, pay structure, performance bonuses, healthcare benefits, wellness programs, employee retention, shift work, stock management, job application process, advance your career, diverse work culture, private grocery store, customer insights, employee training programs, professional growth opportunities, innovative technology, stress management, b2b, consumer products & retail, transportation & logistics, enterprise software, enterprises, computer software, information technology & services, logistics & supply chain, consumer internet, consumers, internet, environmental services, renewables & environment",+48 22 275 10 00,"Facebook Custom Audiences, Facebook Widget, DoubleClick Conversion, Facebook Login (Connect), Google Dynamic Remarketing, Nginx, Google Analytics, Google Tag Manager, DoubleClick, YouTube, WordPress.org, Mobile Friendly, Google AdSense, Reviews",,,,,27632000000,,6868f0c9f7992c0001b00c60,5411,44511,"Biedronka is the largest discount supermarket chain in Poland, owned by the Portuguese group Jerónimo Martins. Established in 1995, it operates over 3,700 stores across the country and employs around 84,000 people, making it Poland's largest employer. The name ""Biedronka"" translates to ""ladybird"" in Polish, which is reflected in its logo.

The supermarket focuses on retail grocery, offering high-quality products at everyday low prices. Its product range includes local Polish goods and private label items, catering to a diverse customer base. Biedronka serves over five million customers daily and has a strong commitment to supporting the Polish economy, collaborating with nearly 600 local trading partners and investing over PLN 12 billion since its inception. The company reported sales revenue exceeding PLN 93 billion in 2023, highlighting its position as a dominant player in the grocery retail market. Biedronka also emphasizes sustainability and corporate responsibility, aligning its risk management system with international standards.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6917301e2038250001945906/picture,,,,,,,,
4Swiss,4Swiss,Cold,,1,retail,bartosz.kosiba@kreativia.pl,http://www.4swiss.pl,http://www.linkedin.com/company/4swiss,https://www.facebook.com/4SwissPolska,,6 aleja Armii Ludowej,Warszawa,woj. mazowieckie,Poland,00-639,"6 aleja Armii Ludowej, Warszawa, woj. mazowieckie, Poland, 00-639","csr, health, horeca, fitness, hospitality, agd, dietetyka, wyposazenie restauracji, sprzedaz detaliczna, recyclable packaging, health benefits, safety standards, certified quality, nasa ultem material, innovative technology, automatic coffee machines, sustainable development, ekologia, kitchen gadgets, frytkownice beztłuszczowe, natural ingredients, wellness, slow juicers, water purifier, energy saving, hand blenders, bpa free, b2c, air purifier, gospodarka obiegu zamkniętego, dieta zdrowa, e-commerce, low noise system, jakość, multi-functional kitchen devices, kitchen appliances, industrial machinery manufacturing, water filtration systems, modern design, zero waste kitchen, domestic appliances, hulajnogi elektryczne, innowacje, recykling opakowań, cicha praca, professional use, professional-grade kitchen tools, łatwe czyszczenie, energy-efficient appliances, biodegradable materials, nowoczesny styl, wyciskarki wolnoobrotowe, dryers, healthy lifestyle gadgets, wytwarzanie sprzętu agd, suszenie włosów, d2c, naturalne składniki, consumer goods, sustainable product design, filtry do wody, manufacturing, recycling, zero waste, retail, bez bpa, dbałość o środowisko, nutrition, design, bezpieczeństwo, certyfikaty jakości, environmental responsibility, coffee espresso, home appliances, minimalist style, polski producent, produkty premium, electric scooters, technologia, customer service, recykling sprzętu, easy cleaning system, zdrowa żywność, produkty ekologiczne, eco-conscious manufacturing, serwis, vacuum cleaners, b2b, homemade juice and food, food processor, eco-friendly appliances, smart blender, recykling, durable materials, recyclable batteries, system ecs, ekspresy do kawy, recyclable electronic waste, gwarancja, enzyme protection system, air fryers, distribution, consumer_products_retail, personal health, health care, hospital & health care, leisure, travel & tourism, sustainability, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering, health, wellness & fitness",+48 22 123 87 00,"Gmail, Google Apps, Woo Commerce, Facebook Login (Connect), Mobile Friendly, Facebook Custom Audiences, YouTube, Facebook Widget, DoubleClick Conversion, DoubleClick, reCAPTCHA, TrustedShops, Google Dynamic Remarketing, Google Tag Manager, WordPress.org",,,,,,,6868f0c9f7992c0001b00ccd,3631,33324,"The 4Swiss brand was founded in 2014 as a combination of passion for a healthy lifestyle and the desire to provide products that allow you to take care of your health and well-being at your home. Our innovative slow juicers have been developed based on the expert knowledge of dieticians and technologists to ensure the optimal operation of the device while maintaining the most important nutrients of the prepared beverages.

As a result, thanks to the slow juicer, the juice that is extracted from fruits and vegetables preserves all their valuable elemen such as enzymes, vitamins and minerals. They also guarantee assimilability of fruits and vegetables at much higher level than if they were eaten.

The new product in the brand's offer is Roma A10 automatic coffee machine, available in standard home and pro business versions. These devices combine two features that are an indicator of modernity - a minimalist design and a well-equipped components.

We offer devices adjusted to home and commercial needs.

4Swiss provides:
* Modern design and the highest quality of craftmanship
* Safe materials free from BPA
* Excellent customer service
* A socially responsible company",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6755d580b9de6c000168037e/picture,,,,,,,,
Polska Sieć Handlowa Lewiatan,Polska Sieć Handlowa Lewiatan,Cold,,550,retail,bartosz.kosiba@kreativia.pl,http://www.lewiatan.pl,http://www.linkedin.com/company/lewiatan,,,10 ulica Jana Kilinskiego,Wloclawek,Kuyavian-Pomeranian Voivodeship,Poland,87-800,"10 ulica Jana Kilinskiego, Wloclawek, Kuyavian-Pomeranian Voivodeship, Poland, 87-800","supermarkets and other grocery retailers (except convenience retailers), local community support, brand recognition, brand management, marketing, business support, consumer goods, energy efficiency, product assortment, b2c, sustainable development, promotions, regional offices, awards and honors, consulting, b2b, customer loyalty, regional franchise support, e-commerce, modern technology in retail, marketing support, community engagement, visual branding, training programs, digital marketing, local product promotion, sustainable development reports, awards, logistics, digital solutions, visual merchandising, franchise, energy-efficient stores, customer loyalty programs, grocery retail, market research, market expansion, services, local suppliers, customer service, retail network, franchise system, quality products, retail, modern store design, distribution, responsible business practices, partnerships, supply chain management, customer relationship management, local community, education, non-profit, consumers, environmental services, renewables & environment, sustainability, consumer internet, internet, information technology & services, marketing & advertising, logistics & supply chain, crm, sales, enterprise software, enterprises, computer software, nonprofit organization management",+48 54 412 78 21,"Outlook, Microsoft Office 365, Microsoft Azure Hosting, Google Play, Facebook Widget, Hotjar, Google Font API, reCAPTCHA, Google Maps, WordPress.org, Microsoft Frontpage, Mobile Friendly, Facebook Login (Connect), Facebook Custom Audiences, Google Tag Manager, YouTube, Google Analytics, Microsoft-IIS",,,,,4158000000,,6868f0c9f7992c0001b00d0a,5191,44511,"Polska Sieć Handlowa Lewiatan is a prominent retail network and franchise chain in Poland, established in 1994. It was created by a consortium of wholesalers to support Polish entrepreneurs amid the rise of foreign retail chains. Today, it stands as the third largest retail chain in Poland and the largest Polish franchise network, with over 3,200 retail outlets operated by around 2,100 independent entrepreneurs.

Lewiatan focuses on a cooperative business model that combines nationwide purchasing power with local relationships. This model allows franchisees to participate in decision-making and business development, fostering a community-oriented retail environment. The company provides centralized purchasing, supply chain management, marketing support, and business development solutions to enhance the competitiveness of its franchisees. Lewiatan stores offer a diverse range of products, including food, beverages, household items, and organic goods, often featuring products from local producers. With a commitment to sustainability and community focus, Lewiatan plays a significant role in Poland's retail sector.",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6916fa9742fe710001e5fc1d/picture,,,,,,,,
Agata S.A.,Agata S.A,Cold,,580,retail,bartosz.kosiba@kreativia.pl,http://www.agatameble.pl,http://www.linkedin.com/company/agata-s-a,https://facebook.com/salonyagata,,93 aleja Walentego Rozdzienskiego,Katowice,slaskie,Poland,40-203,"93 aleja Walentego Rozdzienskiego, Katowice, slaskie, Poland, 40-203","retail, customer service, home delivery, furniture accessories, b2c, retail stores, online furniture store, accessories, home furnishings, e-commerce, furniture, interior accessories, d2c, textiles, online shopping, home decor items, home renovation, interior decoration accessories, home decor, decorations, lighting, interior design, furniture retail, consumer internet, consumers, internet, information technology & services",+48 32 888 70 70,"Cloudflare DNS, Outlook, CloudFlare Hosting, Facebook Login (Connect), DoubleClick Floodlight, 33Across, Vimeo, Cedexis Radar, Bing Ads, Google AdWords Conversion, DoubleClick, Rubicon Project, JQuery 2.1.1, Google Maps (Non Paid Users), Facebook Custom Audiences, Google Places, Google Dynamic Remarketing, Facebook Widget, OpenX - Exchange, Adform, AppNexus, Google Tag Manager, TripleLift, Content.ad, Adobe Media Optimizer, RTB House, Paczkomaty, Mobile Friendly, Google Maps, Pingdom, Google Analytics, Hotjar, DoubleClick Conversion",,,,,638000000,,6868f0c9f7992c0001b00c3d,5712,,"Agata S.A. is a prominent Polish company based in Katowice, specializing in furniture retail and interior design. Established in 1952, it has grown from a state-owned manufacturing enterprise into a privately-owned joint-stock company. Agata operates 32 to 35 large-format showrooms across Poland, showcasing a diverse range of furniture collections and interior design accessories from over 250 manufacturers.

The company offers furniture for various spaces, including living rooms, bedrooms, dining rooms, kitchens, and children's rooms. Their product selection also includes chairs, tables, mattresses, lighting, carpets, textiles, and kitchen accessories. Agata serves customers through both physical stores and e-commerce platforms, with knowledgeable staff available to assist in selecting tailored furniture and design solutions.

Agata S.A. invests in advanced logistics and technology to enhance its operations. The implementation of the Astro Warehouse Management System optimizes warehouse functions, while mobile device management solutions ensure efficient use of technology across the company. Agata is committed to providing quality products and exceptional customer service in the furniture retail sector.",1952,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ed4416d2de8f0001cc91d5/picture,,,,,,,,
MM Cars Group,MM Cars Group,Cold,,110,retail,bartosz.kosiba@kreativia.pl,http://www.mmcars.pl,http://www.linkedin.com/company/mm-cars-group,https://facebook.com/MMCarsKatowice,https://twitter.com/MMCarsGroup,81 ulica Lotnisko,Katowice,slaskie,Poland,40-271,"81 ulica Lotnisko, Katowice, slaskie, Poland, 40-271","motoryzacja, sprzedaz samochodow uzywanych, sprzedaz samochodow nowych, sprzedaz samochodow dostawczych, kompleksowa obsluga flot, autoryzowany serwis samochodowy, ubezpieczenia, kredyty i leasingi, naprawy powypadkowe, automotive, car sales, car repairs, car accessories sales",,"Cloudflare DNS, Outlook, CloudFlare Hosting",,,,,37000000,,6868f0c9f7992c0001b00c5e,"3537, 5531",,"MM Cars Group is a prominent automotive company based in Katowice, Poland, founded in 1990 by Piotr Mozdyniewicz. It has grown to become one of the largest authorized car dealers in the region, operating multiple modern showrooms. The company employs between 201 and 500 people and has reported revenues between 101 million and 500 million PLN.

MM Cars Group specializes in the sale of new and used vehicles from various well-known brands, including Opel, Suzuki, Hyundai, and Jaguar. They provide a range of automotive services, such as authorized car servicing, mechanical repairs, post-accident repairs, and financing options like car loans and leasing. Additionally, the company offers fleet management services for business clients needing multiple vehicles. With a focus on customer satisfaction, MM Cars Group aims to be a one-stop solution for all automotive needs, from purchase to maintenance and insurance.",1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/690d9b368bc73e0001dd60fb/picture,,,,,,,,
Eltrox,Eltrox,Cold,,130,retail,bartosz.kosiba@kreativia.pl,http://www.eltrox.pl,http://www.linkedin.com/company/eltrox,https://www.facebook.com/eltroxpl,,74 ulica Warszawska,,slaskie,Poland,42-202,"74 ulica Warszawska, slaskie, Poland, 42-202","monitoring, systemy alarmowe, automatyka domowa, smart home, oze, sieci komputerowe, it, tv i multimedia, retail appliances, electrical, & electronic equipment, industrial automation, monitoring ip wifi, systemy cctv, elementy montażowe, telecommunications, systemy bezpieczeństwa, kamery multisensoryczne, energy management, audio and video equipment manufacturing, kamery solarne, kamery do monitoringu w trudnych warunkach, kamery do monitoringu przemysłowego, kamery panoramiczne, kamery obrotowe ptz, cybersecurity, b2b, consulting, systemy radiokomunikacji, services, access control, security operations center, automatyka do bram, kamery do monitoringu w lasach, kamery do monitoringu, monitoring systemy, kamery do rozpoznania tablic, systemy przeciwpożarowe, systemy smart home, sensors, systemy zasilania, rejestratory, inventory management, kamery termowizyjne, security and surveillance equipment manufacturing, kamery ip, retail, e-commerce, electrical equipment and component manufacturing, it and network equipment manufacturing, czujniki alarmowe, mobile app, b2c, distribution, internet of things, consumers, mechanical or industrial engineering, oil & energy, audio & video equipment manufacturing, electrical/electronic manufacturing, hardware, consumer internet, internet, information technology & services",+48 34 387 29 92,"Cloudflare DNS, CloudFlare Hosting, Amplitude, Backbone JS Library, VueJS, Create React App, React, Cedexis Radar, DoubleClick, Google Dynamic Remarketing, Facebook Widget, Paczkomaty, DoubleClick Conversion, Facebook Custom Audiences, Bing Ads, YouTube, Paypal, Vimeo, Adobe Media Optimizer, Mobile Friendly, reCAPTCHA, Google Tag Manager, Facebook Login (Connect), LiveChat",,,,,,,6868f0c9f7992c0001b00d05,3661,33431,"Eltrox is a Polish company founded in 2000, specializing in the distribution and sale of security and automation equipment. It is the largest distributor in Poland for safety-related technology, offering a wide range of products including monitoring systems, alarm systems, smart home solutions, renewable energy products like photovoltaic installations, and IT equipment. Eltrox operates nearly 40 retail showrooms across major Polish cities and has a strong online presence, selling over 3,000 electronic items through its own store and platforms like Allegro and eMAG.

The company serves a diverse customer base, including individual consumers, professional installers, and business clients, and has built trust with over 20,000 installation companies. Eltrox provides comprehensive services such as installation, maintenance, and servicing of equipment. With partnerships with leading brands in automation and security technology, Eltrox is well-positioned in the market. Headquartered in Częstochowa, Poland, the company is expanding into Eastern European markets, focusing on growth through marketing and logistics integration.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69085f9a65e73b00019dc865/picture,,,,,,,,
Kodeo Sp. z o. o.,Kodeo Sp. z o. o,Cold,,1,retail,bartosz.kosiba@kreativia.pl,http://www.kodeo.pl,http://www.linkedin.com/company/kodeo-sp-z-o-o,,,66 ulica gen. Leopolda Okulickiego,Krakow,Wojewodztwo malopolskie,Poland,31-637,"66 ulica gen. Leopolda Okulickiego, Krakow, Wojewodztwo malopolskie, Poland, 31-637","etykiety, drukarki etykiet, serwis drukarek etykiet, serwis drukarek laserowych, serwis drukarek iglowych, tasmy barwiace, retail office equipment, automatic identification, software for labels, label applicators, rfid printers, services, healthcare, expendable materials for printers, e-commerce, barcode scanner accessories, inventory management, manufacturing, pistol grips, wireless barcode scanners, industrial automation, rs-232 cables, software for label design, industrial barcode scanners, industrial rfid solutions, automated label dispensers, software for labeling, automatic dispensers, data collection devices, scales, specialist labels for hazardous substances (ghs), rfid labels, high-speed label printers, high durability industrial scanners, mounting brackets, customized barcode labels, mobile barcode scanners, barcode scanner repair services, computer and peripheral equipment manufacturing, docking stations, mobile terminals, industrial terminals, power supplies for devices, data management, usb cables, logistics, protective covers, software for designing labels and cards, accessories for data collection devices, label printers, long-range barcode scanners, retail, power supplies, data collectors, consulting, barcode scanners, rfid label printers, batteries for devices, professional barcode scanners, software for data collection, rewinders, b2b, cable connectors, wireless data collection solutions, barcode labels, industrial, software, hardware, rfid, barcode, labeling, automation, warranty, customized, professional, health care, health, wellness & fitness, hospital & health care, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",+48 12 346 15 87,"Google Font API, Google Tag Manager, Hotjar, Apache, Facebook Widget, Facebook Custom Audiences, Mobile Friendly, Google Analytics, Facebook Login (Connect)",,,,,,,6868f0c9f7992c0001b00d07,3575,33411,"Kodeo to firma tworzona przez zespół doświadczonych ekspertów - techników doskonale zaznajomionych z oferowanym przez nas sprzętem oraz specjalistów do spraw sprzedaży, dla których zaspokojenie potrzeb klienta jest celem nadrzędnym. Od lat współpracujemy z największymi producentami w branży - wiodącymi markami takimi jak Zebra, Honeywell, Datalogic, Elo, Brady, Citizen, Datacard, Epson, GoDEX, Unitech, Newland, TCS, Seagull, Metapace i inni. Oferujemy naszym klientom tylko najlepszą jakość i nie tolerujemy pod tym względem kompromisów. Stale także poszerzamy naszą ofertę o nowe produkty i nowe rozwiązania.

Naszym największym atutem są profesjonalni, zaangażowani i otwarci na potrzeby klientów pracownicy. Nieustannie się rozwijamy, śledzimy nowinki technologiczne i branżowe trendy w kraju i za granicą - wszystko po to, aby jak najlepiej służyć naszym klientom wiedzą i nieprzerwanie zdobywanym doświadczeniem. Chętnie podejmujemy się projektów wielokanałowych, świadcząc usługi zarówno w sieci jak i offline, starając się sprostać wszelkim wymaganiom naszych kontrahentów.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6715bb6da1906400011da5b7/picture,,,,,,,,
Vipservice,Vipservice,Cold,,18,retail,bartosz.kosiba@kreativia.pl,http://www.vipservice.com.pl,http://www.linkedin.com/company/vipservice,,,62 ulica ks. Ignacego Skorupki,Zabki,Masovian Voivodeship,Poland,05-091,"62 ulica ks. Ignacego Skorupki, Zabki, Masovian Voivodeship, Poland, 05-091","aranzacja wnetrz, wyposazenie placowek uzytecznosci poblicznej, handel meblami biurowymi, przedstawiciel firmy mute, sprzedaz mebli i wyposazenia przestrzeni komercyjnych, architektura przestrzeni biurowych, przedstawiciel firmy profim, przedstawiciel firmy pedrali, dystrybucja mebli biurowych, przedstawiciel firmy flokk, projektowanie przestrzeni biurowych, retail office equipment, acoustic panels, custom interior solutions, flexible workspace furniture, interior furnishings, ergonomic furniture, reception desks, retail furniture, circular furniture design, cyclic furniture components, acoustic solutions, educational space furnishings, office furniture, furniture manufacturing, modular furniture, room-in-room system, b2b, lounge furniture, retail, kitchen and coffee points, design for hospitality spaces, modular acoustic panels, high-quality office accessories, interior design, public space acoustic solutions, specialized medical interior equipment, e-commerce, office furniture retail, custom space configuration, services, ergonomic office chairs, commercial interior design, conference furniture, interior design services, office furniture (including fixtures) manufacturing, hotel interior furnishings, environmentally friendly materials, phone booths, public space equipment, healthcare, education, distribution, consumer internet, consumers, internet, information technology & services, health care, health, wellness & fitness, hospital & health care",+48 22 400 70 70,"reCAPTCHA, Google Tag Manager, Mobile Friendly, WordPress.org, Google Analytics, YouTube, Google Font API",,,,,,,69106df5b504cb00017be993,2512,33721,"Vipservice to dynamicznie rozwijająca się firma w branży wyposażenia wnętrz użytkowych. Od 2005 r. dzięki sile designu podnosimy jakość funkcjonowania w przestrzeniach komercyjnych. Aranżujemy i wyposażamy biura, sklepy, centra handlowe, bary i restauracje oraz inne strefy użyteczności publicznej na terenie całego kraju.

Oferujemy naszym klientom kompleksową obsługę, od stworzenia koncepcji poczynając, na dostawie i montażu wyposażenia kończąc.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f144d60fd09d000147e388/picture,,,,,,,,
DEKORNIK,DEKORNIK,Cold,,5,retail,bartosz.kosiba@kreativia.pl,http://www.dekornik.com,http://www.linkedin.com/company/dekornik,https://www.facebook.com/DEKORNIK/,,5A ulica Wodzirejow,Warszawa,woj. mazowieckie,Poland,02-824,"5A ulica Wodzirejow, Warszawa, woj. mazowieckie, Poland, 02-824","wallstickers, retail, kids room, ecommerce, wholesale, room decoration, wallpapers, design, homedecor, jungle themes, wallpapers for boys, wallpaper for nursery, colorful wallpapers, wallpapers with educational themes, wallpapers for girls, wallpapers with jungle animals, wallpaper collection, floral wallpapers for girls, high quality wallpapers, eco paints, big wallpapers for kids, recycled paper, magical wallpapers, cosmos themes, wallpapers with nature motifs, themed wallpapers, wallpapers for kids room, jungle wall murals, nature themes, plywood wall decorations, cosmos wallpapers, wallpapers for creative spaces, consumer goods & retail, joyful designs, creative studio, wallpaper samples, floral patterns, minimalist wallpapers, decorative borders, flower wallpapers, big wallpapers, eco wallpapers for children, sky themes, theatrical wallpapers, minishelves, b2c, e-commerce, plywood decorations, eco-friendly wallpapers, new collections, interior design, wallpapers with animals, wallpapers for nursery, home decor, easy to hang, eco-friendly materials, theatrical wallpapers for kids, wallpapers with fun patterns, d2c, jungle wallpapers, kids room decor, easy to install, minimal wallpapers, discount wallpapers, magical wallpapers for kids, floral wallpapers, ocean themes, minishelves for kids rooms, mini shelves, decorative borders for kids, wallpapers with eco-certifications, children's room decoration, sea and sky wallpapers, animal wallpapers, consumer products & retail, consumer internet, consumers, internet, information technology & services",+48 78 914 04 44,"Cloudflare DNS, Google AdWords Conversion, Amadesa, Paypal, ShareThis, Adobe Media Optimizer, Cedexis Radar, Google Font API, Shopify, Facebook Custom Audiences, Vimeo, Mobile Friendly, Facebook Login (Connect), Facebook Widget, Google Tag Manager, Circle, AI",,,,,,,69106e0ab504cb00017bfc01,5999,,"Dekornik is shop with the most beautiful wallpapers and wallstickers for children. Based in Poland it is now the biggest online shop with original wall decorations. We have more than 200 wallpapers and over 150 wallstickers in our offer. We ship worldwide and you will see that buying from us is a pleasure. We guarantee the best quality of our products: wallpapers, wallstickers and – moreover – a collection of beddings and plywood decorations for kids' rooms. We make childrens' rooms and nurseries more beautiful, children more smiley and mums – simply happier.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670a3dedc7580f000151b4ea/picture,,,,,,,,
